                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.153,                0.61507,                 1.1135,                0.90197,                0.92188,                0.90616,                0.56451,                 1.1465,                0.57818,                 1.1716,                0.00736,                0.00736,                0.00736
                     82,                 1.1533,                0.61933,                 1.1213,                0.95599,                0.85486,                0.91488,                0.55285,                 1.1673,                 0.5834,                 1.1974,               0.007327,               0.007327,               0.007327
                     83,                 1.1277,                0.60804,                 1.1197,                0.91108,                0.90096,                0.92432,                0.54652,                 1.2048,                0.57432,                 1.2046,               0.007294,               0.007294,               0.007294
                     84,                 1.1377,                0.61513,                  1.102,                0.79241,                 0.7416,                0.83797,                0.48519,                 1.3392,                0.90638,                 1.2865,               0.007261,               0.007261,               0.007261
                     85,                 1.1185,                0.59977,                 1.1222,                 0.9091,                0.87884,                0.91489,                 0.5656,                 1.1795,                0.59738,                 1.1961,               0.007228,               0.007228,               0.007228
                     86,                 1.1339,                0.60705,                 1.1099,                0.89716,                 0.8725,                0.92723,                0.58421,                 1.1781,                0.56837,                 1.1851,               0.007195,               0.007195,               0.007195
                     87,                 1.1259,                0.60745,                  1.122,                0.92432,                0.88685,                0.91446,                0.56773,                 1.1731,                0.57642,                 1.1945,               0.007162,               0.007162,               0.007162
                     88,                 1.1475,                 0.6135,                 1.1146,                0.89937,                0.88108,                0.92659,                0.55106,                 1.2177,                0.56693,                 1.2123,               0.007129,               0.007129,               0.007129
                     89,                 1.1248,                0.61798,                 1.1169,                0.89461,                 0.7825,                0.84233,                0.52601,                 1.2125,                0.57014,                 1.2224,               0.007096,               0.007096,               0.007096
                     90,                 1.1365,                0.60804,                 1.1051,                0.84035,                0.85543,                0.88269,                0.54632,                  1.191,                0.59063,                 1.2107,               0.007063,               0.007063,               0.007063
                     91,                 1.1094,                0.58743,                 1.1023,                0.91739,                0.85474,                0.90364,                0.56243,                  1.245,                0.57896,                  1.221,                0.00703,                0.00703,                0.00703
                     92,                 1.1044,                0.58983,                 1.1037,                0.92353,                0.82917,                0.93349,                0.57474,                 1.1912,                0.59069,                 1.1908,               0.006997,               0.006997,               0.006997
                     93,                 1.1133,                0.59419,                 1.0925,                0.85069,                0.84156,                0.88946,                0.54312,                 1.2766,                0.64214,                  1.233,               0.006964,               0.006964,               0.006964
                     94,                 1.1083,                 0.5909,                 1.0925,                0.93541,                0.85177,                0.90586,                0.53509,                  1.245,                0.61466,                 1.2274,               0.006931,               0.006931,               0.006931
                     95,                 1.1016,                0.58301,                 1.1024,                0.85797,                 0.8941,                0.91751,                0.57083,                 1.1571,                0.55186,                 1.1743,               0.006898,               0.006898,               0.006898
                     96,                 1.1121,                0.59226,                  1.096,                 0.9218,                0.85441,                0.91889,                0.58885,                 1.1531,                0.55007,                 1.1798,               0.006865,               0.006865,               0.006865
                     97,                 1.0752,                0.57218,                 1.0961,                0.88836,                0.89245,                0.92321,                0.58263,                 1.1532,                0.53743,                  1.184,               0.006832,               0.006832,               0.006832
                     98,                  1.095,                0.58672,                  1.089,                0.96524,                0.87591,                0.92948,                0.58723,                 1.1736,                 0.5736,                 1.1938,               0.006799,               0.006799,               0.006799
                     99,                 1.1305,                0.59783,                 1.0938,                0.93822,                0.88565,                0.93964,                 0.5852,                  1.147,                0.54177,                 1.1774,               0.006766,               0.006766,               0.006766
                    100,                 1.1138,                 0.5893,                 1.0929,                0.89504,                0.86807,                0.91975,                0.54837,                 1.2088,                 0.5678,                 1.2054,               0.006733,               0.006733,               0.006733
                    101,                 1.0883,                0.57466,                 1.0889,                0.93068,                0.90794,                0.92942,                0.56074,                  1.144,                0.54099,                 1.1713,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0863,                0.56672,                 1.0796,                0.93279,                 0.8992,                0.92468,                 0.5803,                 1.1678,                0.54398,                 1.1933,               0.006667,               0.006667,               0.006667
                    103,                 1.0923,                0.56752,                 1.0826,                 0.9469,                0.80133,                0.91838,                0.56374,                 1.1864,                 0.5517,                 1.2094,               0.006634,               0.006634,               0.006634
                    104,                 1.0927,                0.57586,                 1.0943,                0.96171,                0.87382,                 0.9418,                0.58871,                 1.1717,                0.53714,                  1.182,               0.006601,               0.006601,               0.006601
                    105,                 1.0796,                0.56556,                 1.0732,                0.91375,                0.90229,                0.93962,                0.58882,                 1.2171,                0.55365,                 1.2017,               0.006568,               0.006568,               0.006568
                    106,                 1.0648,                0.56307,                 1.0949,                0.96052,                0.85579,                0.92659,                0.57997,                 1.1522,                0.53415,                 1.1797,               0.006535,               0.006535,               0.006535
                    107,                  1.056,                0.56164,                 1.0936,                0.92123,                0.82819,                0.91245,                0.60424,                 1.1377,                0.53744,                 1.1754,               0.006502,               0.006502,               0.006502
                    108,                 1.0758,                0.56725,                 1.0746,                0.93372,                0.90417,                0.93361,                0.58292,                 1.1832,                0.53496,                 1.1948,               0.006469,               0.006469,               0.006469
                    109,                 1.0879,                0.56101,                 1.0811,                0.91148,                0.89741,                0.93275,                0.56592,                 1.1914,                0.53583,                 1.2119,               0.006436,               0.006436,               0.006436
                    110,                 1.0526,                0.56145,                 1.0757,                0.93022,                0.89532,                0.95104,                0.56867,                 1.1899,                0.57024,                 1.2029,               0.006403,               0.006403,               0.006403
                    111,                 1.0777,                0.56875,                  1.085,                 0.8645,                0.86428,                 0.8964,                0.57605,                  1.162,                 0.5577,                 1.1766,                0.00637,                0.00637,                0.00637
                    112,                 1.0855,                0.56931,                 1.0846,                0.96549,                0.91895,                 0.9474,                0.59424,                 1.1525,                0.52939,                 1.1786,               0.006337,               0.006337,               0.006337
                    113,                 1.0576,                0.56075,                 1.0687,                0.95307,                0.86834,                0.92939,                0.58712,                 1.1534,                0.54434,                 1.1848,               0.006304,               0.006304,               0.006304
                    114,                 1.0502,                0.55704,                 1.0764,                0.97226,                0.89437,                0.94128,                0.58278,                 1.1808,                0.53279,                 1.1867,               0.006271,               0.006271,               0.006271
                    115,                 1.0472,                 0.5482,                 1.0644,                0.91291,                0.91318,                0.94133,                0.60585,                 1.1435,                0.52612,                 1.1746,               0.006238,               0.006238,               0.006238
                    116,                 1.1026,                0.57293,                 1.0742,                0.93854,                0.81785,                0.91267,                 0.5826,                 1.1705,                0.54715,                 1.1972,               0.006205,               0.006205,               0.006205
                    117,                 1.0471,                0.55316,                 1.0749,                0.92656,                0.76955,                 0.8851,                0.55785,                 1.1411,                0.54239,                 1.1949,               0.006172,               0.006172,               0.006172
                    118,                 1.0862,                0.56636,                 1.0771,                0.96132,                0.85062,                0.92382,                0.57314,                 1.1758,                0.56063,                 1.2013,               0.006139,               0.006139,               0.006139
                    119,                 1.0636,                 0.5502,                 1.0744,                0.94682,                0.87785,                0.92256,                0.59609,                 1.1569,                0.52899,                 1.1828,               0.006106,               0.006106,               0.006106
                    120,                 1.0636,                0.54639,                 1.0727,                0.97065,                0.86911,                0.93415,                0.58532,                 1.1761,                 0.5457,                 1.2063,               0.006073,               0.006073,               0.006073
                    121,                 1.0804,                0.55765,                 1.0808,                0.89632,                0.87733,                0.91753,                 0.5836,                 1.1554,                0.53758,                  1.192,                0.00604,                0.00604,                0.00604
                    122,                 1.0762,                0.55302,                 1.0752,                0.95723,                0.87134,                0.93837,                0.58123,                 1.1987,                0.53994,                 1.2091,               0.006007,               0.006007,               0.006007
