                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                  1.071,                0.57454,                 1.0935,                0.94025,                 0.8873,                0.95499,                0.56335,                 1.1684,                0.54986,                 1.1944,               0.006832,               0.006832,               0.006832
                     98,                 1.0816,                0.58291,                 1.0847,                0.95734,                0.86265,                0.94672,                0.58539,                 1.1357,                0.53825,                 1.1814,               0.006799,               0.006799,               0.006799
                     99,                  1.123,                0.59811,                 1.0897,                 0.8485,                0.86279,                0.88322,                0.54419,                 1.1846,                0.55434,                 1.2045,               0.006766,               0.006766,               0.006766
                    100,                 1.1067,                0.58735,                 1.0885,                0.95546,                0.88984,                0.94935,                0.56627,                 1.2138,                0.56651,                 1.2198,               0.006733,               0.006733,               0.006733
                    101,                 1.0874,                0.57362,                 1.0911,                0.97478,                 0.8663,                 0.9342,                 0.5602,                  1.148,                 0.5455,                 1.1826,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0857,                0.56832,                 1.0787,                0.93059,                 0.9106,                0.94655,                0.57417,                 1.1644,                0.53797,                 1.2099,               0.006667,               0.006667,               0.006667
                    103,                 1.0897,                0.56853,                 1.0807,                0.88914,                0.86688,                0.90901,                0.56473,                 1.1549,                0.54522,                 1.1857,               0.006634,               0.006634,               0.006634
                    104,                 1.0798,                0.57404,                 1.0871,                0.92014,                0.85904,                0.91315,                0.57035,                 1.1685,                0.55675,                  1.188,               0.006601,               0.006601,               0.006601
                    105,                 1.0787,                0.56767,                 1.0711,                0.91438,                0.91003,                0.95583,                    0.6,                 1.1823,                0.53728,                 1.1892,               0.006568,               0.006568,               0.006568
                    106,                 1.0577,                0.56562,                 1.0941,                0.90543,                0.87301,                0.91972,                0.56873,                 1.1719,                0.55511,                 1.1903,               0.006535,               0.006535,               0.006535
                    107,                 1.0494,                0.56278,                 1.0924,                0.91643,                0.85979,                0.91586,                0.56417,                 1.1714,                0.54357,                 1.2044,               0.006502,               0.006502,               0.006502
                    108,                 1.0682,                0.56179,                  1.074,                0.93519,                0.84914,                0.91342,                0.56129,                 1.1923,                0.54365,                 1.1932,               0.006469,               0.006469,               0.006469
                    109,                 1.0808,                0.55706,                  1.077,                 0.9543,                0.85842,                0.91597,                0.59445,                 1.1422,                0.53488,                  1.186,               0.006436,               0.006436,               0.006436
                    110,                   1.05,                0.55691,                 1.0738,                0.77188,                0.87731,                0.86604,                0.55775,                 1.1371,                0.53868,                 1.1798,               0.006403,               0.006403,               0.006403
                    111,                 1.0714,                0.56334,                 1.0811,                0.84131,                0.91766,                0.90579,                0.58994,                 1.1569,                0.54925,                  1.181,                0.00637,                0.00637,                0.00637
                    112,                 1.0802,                0.56692,                 1.0837,                0.92971,                0.86791,                0.93632,                0.56297,                 1.1433,                0.53756,                  1.185,               0.006337,               0.006337,               0.006337
                    113,                 1.0478,                0.55331,                 1.0661,                0.90727,                0.92087,                0.93244,                0.58213,                 1.1399,                0.51713,                 1.1728,               0.006304,               0.006304,               0.006304
                    114,                 1.0433,                 0.5542,                 1.0756,                0.91961,                0.89952,                0.94251,                0.58129,                 1.1748,                0.52911,                  1.193,               0.006271,               0.006271,               0.006271
                    115,                 1.0443,                0.54537,                 1.0659,                0.88851,                0.91424,                0.93051,                0.57537,                 1.1601,                 0.5317,                 1.1815,               0.006238,               0.006238,               0.006238
                    116,                 1.0871,                0.57066,                  1.068,                0.93787,                0.92698,                0.95919,                0.59763,                 1.1753,                0.52806,                 1.1863,               0.006205,               0.006205,               0.006205
                    117,                   1.05,                0.55315,                 1.0743,                 0.9164,                0.87165,                0.92713,                0.58329,                 1.1447,                0.53961,                 1.1842,               0.006172,               0.006172,               0.006172
                    118,                 1.0809,                0.57072,                 1.0772,                0.88655,                0.82278,                0.88532,                0.55788,                 1.1595,                0.56132,                 1.1838,               0.006139,               0.006139,               0.006139
                    119,                 1.0663,                0.55067,                 1.0749,                0.96617,                0.92623,                0.96538,                0.61366,                 1.1418,                0.52608,                 1.1725,               0.006106,               0.006106,               0.006106
                    120,                 1.0566,                0.54464,                 1.0672,                 0.9725,                0.90442,                 0.9606,                0.57716,                 1.1787,                0.53685,                 1.2019,               0.006073,               0.006073,               0.006073
                    121,                 1.0729,                0.55946,                 1.0763,                0.89356,                0.90281,                0.92841,                0.55458,                 1.1568,                0.53944,                 1.2022,                0.00604,                0.00604,                0.00604
